ID,Age,Gender,Undergraduate_Major,Undergraduate_GPA,WorkYrsExp,CrtJob,Present_Salary,MngExp,Undergrade_UniRank,Entrepreneurial_Interest,Networking,Scholarship_Type,Post_Job,Expected_Salary,Post_Work_Loc,Reason,Study_Type,Response,TOEIC_Score
1030,28,Female,Arts,3.7,3,Entrepreneur,104898,No,399,4.3,2.9,Scholarship,Marketing Director,194657,Domestic,Career Growth,Online,No,600
1031,24,Male,Engineering,2.52,3,Analyst,43115,No,452,2.3,3.1,Employer,Finance Manager,86881,International,Career Growth,Online,Yes,750
1032,28,Male,Business,2.39,9,Manager,46974,No,35,8.4,7.4,Employer,Startup Founder,148815,Domestic,Career Growth,On-Campus,No,700
1033,24,Female,Economics,2.63,3,Consultant,102727,No,324,8.0,4.1,Loan,Executive,120945,International,Career Growth,Online,Yes,750
1034,28,Male,Economics,2.9,7,Analyst,90835,No,426,2.6,2.7,Scholarship,Startup Founder,85944,Domestic,Entrepreneurship,On-Campus,Yes,500
1035,29,Male,Economics,3.7,0,Consultant,32224,No,125,3.6,5.1,Employer,Startup Founder,89097,International,Skill Enhancement,On-Campus,No,550
1036,23,Female,Arts,3.56,9,Entrepreneur,119274,No,256,6.1,5.4,Employer,Consultant,156651,International,Career Growth,On-Campus,Yes,600
1037,23,Female,Science,3.7,4,Manager,35333,Yes,340,3.2,2.8,Loan,Consultant,85573,Domestic,Skill Enhancement,Online,Yes,990
1038,31,Male,Science,2.54,9,Engineer,94806,No,12,1.5,5.2,Loan,Executive,78626,Domestic,Entrepreneurship,Online,No,700
1039,33,Male,Science,3.19,1,Manager,93239,No,94,7.9,7.7,Loan,Consultant,89211,International,Career Growth,Online,No,600
1040,22,Female,Arts,2.57,9,Consultant,57215,No,361,1.8,2.5,Self-funded,Finance Manager,87722,International,Career Growth,Online,No,900
1041,33,Male,Economics,2.22,3,Manager,83997,No,150,7.1,4.2,Self-funded,Consultant,102855,International,Networking,Online,Yes,800
1042,30,Male,Science,3.37,4,Entrepreneur,74228,No,420,2.3,1.9,Self-funded,Executive,102107,International,Entrepreneurship,Online,No,900
1043,23,Female,Arts,2.29,7,Consultant,34904,Yes,418,1.1,2.9,Loan,Marketing Director,84840,Domestic,Career Growth,Online,Yes,990
1044,23,Female,Arts,3.34,1,Consultant,34898,Yes,475,6.1,4.9,Employer,Consultant,165165,International,Networking,Online,No,500
1045,25,Male,Business,3.3,1,Entrepreneur,81647,No,409,3.6,9.8,Loan,Startup Founder,168435,International,Skill Enhancement,Online,Yes,800
1046,25,Other,Science,3.62,1,Analyst,115521,Yes,423,2.2,7.3,Loan,Startup Founder,92228,Domestic,Career Growth,On-Campus,Yes,550
1047,22,Female,Economics,2.28,7,Engineer,42052,No,460,7.2,9.4,Employer,Consultant,140928,Domestic,Networking,On-Campus,No,850
1048,32,Male,Engineering,3.57,2,Manager,94809,No,59,6.8,1.9,Loan,Finance Manager,117876,International,Entrepreneurship,Online,No,700
1049,30,Other,Arts,4.0,4,Engineer,105584,No,460,4.7,9.5,Loan,Startup Founder,151582,Domestic,Entrepreneurship,On-Campus,No,900
1050,33,Male,Business,3.7,1,Engineer,64768,Yes,213,1.8,5.6,Loan,Finance Manager,98793,Domestic,Skill Enhancement,On-Campus,Yes,850
1051,26,Male,Engineering,3.5,5,Entrepreneur,34572,Yes,434,5.2,3.5,Loan,Executive,94934,International,Networking,Online,Yes,600
1052,25,Female,Arts,3.32,9,Analyst,61443,No,61,1.9,8.6,Self-funded,Consultant,177905,Domestic,Entrepreneurship,Online,Yes,500
1053,26,Male,Business,2.84,5,Engineer,36896,No,161,9.9,6.4,Employer,Marketing Director,161498,Domestic,Skill Enhancement,On-Campus,No,700
1054,21,Male,Science,3.46,1,Consultant,35233,Yes,391,3.1,1.8,Scholarship,Startup Founder,195208,International,Networking,Online,No,600
1055,25,Male,Business,3.45,3,Analyst,42644,No,147,1.0,5.8,Loan,Marketing Director,86923,International,Networking,On-Campus,Yes,550
1056,29,Male,Arts,3.26,1,Entrepreneur,61142,No,472,3.0,6.8,Self-funded,Startup Founder,135300,International,Networking,Online,No,990
1057,32,Female,Science,3.59,9,Engineer,32364,No,493,6.6,1.2,Self-funded,Finance Manager,187034,Domestic,Career Growth,Online,Yes,550
1058,30,Female,Economics,2.9,3,Entrepreneur,54507,Yes,148,9.8,5.9,Employer,Startup Founder,65416,International,Networking,Online,Yes,550
1059,34,Other,Business,2.24,6,Manager,68596,No,133,5.7,4.3,Employer,Executive,97017,Domestic,Entrepreneurship,Online,Yes,800
1060,22,Male,Engineering,3.12,4,Entrepreneur,31210,Yes,222,5.0,5.1,Loan,Finance Manager,69504,International,Networking,On-Campus,Yes,550
1061,21,Male,Science,2.53,9,Consultant,45625,Yes,115,9.9,2.0,Self-funded,Marketing Director,156357,Domestic,Career Growth,On-Campus,Yes,500
1062,34,Male,Science,2.77,3,Entrepreneur,102382,No,263,2.5,5.5,Loan,Finance Manager,171288,International,Skill Enhancement,Online,Yes,500
1063,30,Male,Economics,2.03,9,Analyst,73973,Yes,404,2.8,9.9,Employer,Startup Founder,105475,Domestic,Networking,Online,Yes,750
1064,33,Male,Business,2.77,9,Manager,113718,No,175,4.4,7.6,Scholarship,Executive,116872,International,Career Growth,Online,No,600
1065,31,Female,Engineering,3.62,2,Consultant,43146,No,209,7.7,9.4,Self-funded,Executive,188926,Domestic,Networking,On-Campus,Yes,850
1066,29,Female,Economics,3.09,5,Manager,103769,Yes,245,3.7,3.5,Self-funded,Executive,94869,Domestic,Networking,On-Campus,No,750
1067,30,Other,Business,2.02,1,Consultant,31748,No,98,5.2,4.4,Scholarship,Marketing Director,97601,International,Skill Enhancement,Online,No,800
1068,29,Male,Engineering,2.94,3,Manager,108935,No,135,9.5,6.8,Scholarship,Finance Manager,185174,Domestic,Career Growth,Online,Yes,750
1069,29,Female,Engineering,2.58,7,Engineer,74186,No,459,8.9,7.7,Scholarship,Consultant,135622,International,Entrepreneurship,On-Campus,Yes,700
1070,26,Male,Arts,2.96,1,Entrepreneur,85589,No,210,9.5,3.7,Employer,Marketing Director,97459,Domestic,Career Growth,Online,Yes,500
1071,28,Male,Engineering,2.81,8,Analyst,102449,No,478,2.5,4.1,Employer,Finance Manager,99309,International,Entrepreneurship,Online,Yes,850
1072,34,Female,Business,3.86,1,Analyst,33777,Yes,340,5.3,2.2,Self-funded,Executive,174660,International,Networking,On-Campus,Yes,500
1073,31,Female,Economics,2.08,7,Engineer,92757,Yes,64,7.4,7.1,Employer,Startup Founder,160799,International,Career Growth,Online,No,600
1074,33,Male,Economics,3.37,7,Manager,118122,No,322,7.6,4.1,Scholarship,Startup Founder,107940,Domestic,Networking,On-Campus,Yes,800
1075,21,Male,Arts,3.7,6,Entrepreneur,60161,No,263,6.0,2.2,Employer,Startup Founder,129929,Domestic,Skill Enhancement,On-Campus,Yes,500
1076,30,Male,Business,3.92,9,Engineer,54169,No,91,8.4,6.7,Loan,Startup Founder,121338,International,Career Growth,Online,No,550
1077,24,Female,Engineering,2.36,5,Manager,42483,No,271,1.4,1.1,Loan,Consultant,193905,International,Career Growth,Online,No,500
1078,21,Male,Arts,3.06,0,Entrepreneur,69787,Yes,339,2.8,9.6,Self-funded,Finance Manager,113780,International,Career Growth,Online,Yes,800
1079,28,Other,Science,2.09,1,Manager,113687,No,34,4.0,6.8,Loan,Finance Manager,66052,International,Skill Enhancement,On-Campus,Yes,900
1080,21,Male,Business,3.0,6,Analyst,59106,Yes,322,7.6,6.5,Employer,Marketing Director,142657,Domestic,Skill Enhancement,Online,No,850
1081,23,Male,Arts,2.25,3,Entrepreneur,72715,No,412,9.1,6.8,Scholarship,Startup Founder,146072,Domestic,Career Growth,Online,No,850
1082,33,Male,Economics,3.68,8,Analyst,110733,Yes,194,5.8,3.8,Loan,Marketing Director,91584,International,Skill Enhancement,Online,No,550
1083,24,Female,Arts,2.23,2,Analyst,74823,Yes,267,7.4,3.1,Employer,Startup Founder,80931,International,Career Growth,On-Campus,Yes,500
1084,28,Male,Science,3.03,3,Entrepreneur,84563,No,198,6.3,5.8,Scholarship,Consultant,162052,Domestic,Skill Enhancement,On-Campus,Yes,500
1085,26,Female,Business,3.04,2,Engineer,75536,Yes,440,9.3,9.5,Self-funded,Consultant,154705,International,Networking,Online,No,800
1086,34,Female,Arts,3.94,6,Manager,95417,No,407,9.1,3.5,Scholarship,Executive,188503,Domestic,Entrepreneurship,On-Campus,No,500
1087,30,Female,Engineering,3.31,1,Entrepreneur,86303,No,494,8.3,7.4,Loan,Startup Founder,102759,International,Skill Enhancement,On-Campus,Yes,750
1088,32,Female,Business,2.58,9,Analyst,52292,Yes,10,3.5,9.8,Scholarship,Startup Founder,115702,Domestic,Career Growth,Online,No,850
1089,27,Female,Arts,2.48,1,Manager,62566,No,481,4.4,5.9,Self-funded,Finance Manager,90217,International,Entrepreneurship,On-Campus,No,800
1090,34,Female,Arts,2.26,1,Entrepreneur,85514,Yes,211,4.7,5.1,Scholarship,Consultant,147409,International,Networking,On-Campus,No,500
1091,28,Female,Business,3.51,3,Engineer,85156,Yes,203,1.0,7.7,Employer,Finance Manager,156921,Domestic,Skill Enhancement,On-Campus,No,700
1092,22,Male,Economics,3.38,7,Entrepreneur,99346,No,408,3.1,2.3,Loan,Marketing Director,77704,Domestic,Skill Enhancement,Online,Yes,500
1093,33,Male,Engineering,3.22,7,Entrepreneur,52485,No,444,7.4,1.3,Self-funded,Finance Manager,88746,International,Career Growth,Online,No,850
1094,30,Male,Business,2.08,7,Consultant,30826,Yes,376,5.9,4.2,Loan,Startup Founder,95432,International,Entrepreneurship,On-Campus,Yes,500
1095,34,Male,Engineering,3.53,7,Manager,115923,No,92,9.6,8.5,Employer,Finance Manager,198897,Domestic,Networking,On-Campus,Yes,850
1096,31,Male,Engineering,3.28,6,Entrepreneur,60537,Yes,109,1.3,1.7,Loan,Executive,171679,International,Entrepreneurship,Online,Yes,600
1097,28,Other,Business,3.93,5,Analyst,38481,No,12,4.4,6.3,Loan,Finance Manager,90956,Domestic,Career Growth,On-Campus,No,700
1098,23,Male,Arts,3.17,6,Analyst,50981,No,121,7.4,1.5,Scholarship,Executive,64375,International,Skill Enhancement,Online,Yes,990
1099,27,Male,Economics,2.61,4,Consultant,103212,Yes,220,2.2,5.5,Loan,Startup Founder,118564,International,Entrepreneurship,On-Campus,No,650
1100,23,Female,Engineering,2.76,7,Analyst,61109,No,375,5.5,2.2,Employer,Marketing Director,146263,Domestic,Career Growth,Online,No,850
1101,27,Male,Engineering,2.35,1,Entrepreneur,104381,Yes,5,1.1,6.5,Employer,Consultant,158013,International,Entrepreneurship,On-Campus,Yes,550
1102,34,Male,Arts,3.45,4,Manager,98666,Yes,275,2.6,3.8,Employer,Executive,104680,Domestic,Entrepreneurship,On-Campus,No,800
1103,31,Male,Business,3.42,6,Consultant,31080,Yes,328,9.4,4.3,Self-funded,Consultant,194202,International,Career Growth,On-Campus,Yes,750
1104,32,Male,Economics,2.4,8,Consultant,65876,No,236,6.4,1.6,Self-funded,Marketing Director,96248,International,Career Growth,On-Campus,No,500
1105,33,Male,Engineering,2.32,9,Engineer,82921,Yes,37,7.8,8.0,Employer,Finance Manager,102581,Domestic,Career Growth,Online,No,850
1106,22,Female,Engineering,2.15,0,Engineer,71426,Yes,28,1.9,6.4,Loan,Marketing Director,113148,Domestic,Networking,Online,Yes,550
1107,30,Female,Business,3.82,8,Manager,51279,No,300,3.1,6.2,Scholarship,Marketing Director,104638,Domestic,Networking,On-Campus,Yes,700
1108,26,Male,Arts,2.47,2,Manager,93613,No,171,2.7,6.9,Scholarship,Startup Founder,97033,International,Skill Enhancement,Online,Yes,750
1109,23,Male,Science,2.69,0,Consultant,44036,No,197,3.5,7.0,Self-funded,Executive,155985,International,Entrepreneurship,Online,No,800
1110,23,Male,Arts,2.56,6,Entrepreneur,78464,No,328,3.3,4.2,Scholarship,Marketing Director,151539,International,Entrepreneurship,On-Campus,Yes,700
1111,29,Female,Engineering,2.83,2,Entrepreneur,54252,No,240,6.1,3.5,Employer,Executive,105540,International,Career Growth,Online,No,650
1112,27,Male,Engineering,3.43,7,Engineer,32027,Yes,216,7.4,3.7,Self-funded,Executive,134622,Domestic,Skill Enhancement,On-Campus,Yes,500
1113,25,Male,Economics,3.74,1,Manager,90600,Yes,120,5.9,8.3,Loan,Marketing Director,125320,International,Entrepreneurship,Online,No,650
1114,32,Female,Arts,2.37,3,Manager,115612,No,276,3.7,2.5,Loan,Consultant,191809,International,Networking,Online,Yes,900
1115,30,Male,Science,3.37,1,Entrepreneur,74375,No,355,7.3,5.4,Scholarship,Marketing Director,128615,International,Networking,Online,No,650
1116,27,Male,Economics,2.71,3,Engineer,118209,Yes,134,6.0,6.6,Self-funded,Startup Founder,161620,Domestic,Networking,On-Campus,Yes,750
1117,29,Male,Science,3.96,0,Entrepreneur,109835,No,325,6.7,5.6,Self-funded,Finance Manager,80751,International,Networking,On-Campus,Yes,800
1118,21,Female,Economics,2.6,9,Entrepreneur,48636,No,458,2.9,6.0,Self-funded,Finance Manager,101160,Domestic,Entrepreneurship,Online,Yes,990
1119,27,Female,Arts,2.01,4,Consultant,91897,Yes,373,9.6,8.6,Self-funded,Startup Founder,135620,Domestic,Career Growth,On-Campus,No,500
1120,26,Female,Engineering,3.03,2,Manager,90078,Yes,220,3.9,4.0,Scholarship,Marketing Director,71116,Domestic,Career Growth,On-Campus,No,800
1121,30,Male,Science,2.3,8,Consultant,80406,Yes,128,4.3,4.1,Self-funded,Marketing Director,86139,Domestic,Skill Enhancement,Online,Yes,990
1122,34,Female,Arts,2.09,3,Consultant,89130,No,268,5.9,2.5,Employer,Marketing Director,165201,Domestic,Career Growth,On-Campus,Yes,600
1123,32,Other,Science,3.4,5,Entrepreneur,119445,No,117,1.4,7.8,Self-funded,Consultant,75815,International,Networking,On-Campus,Yes,800
1124,29,Other,Arts,3.46,8,Engineer,107863,Yes,399,2.7,2.9,Self-funded,Finance Manager,91682,Domestic,Skill Enhancement,Online,No,990
1125,21,Male,Economics,2.92,1,Entrepreneur,88091,No,451,8.3,5.7,Self-funded,Consultant,93005,International,Skill Enhancement,Online,Yes,750
1126,33,Female,Arts,3.35,6,Engineer,93762,No,87,8.1,8.7,Loan,Executive,127017,International,Skill Enhancement,On-Campus,Yes,550
1127,24,Male,Economics,3.08,2,Manager,56198,Yes,63,2.3,1.9,Loan,Executive,67394,Domestic,Entrepreneurship,On-Campus,No,850
1128,29,Male,Engineering,3.26,0,Analyst,94239,No,373,6.3,2.5,Self-funded,Startup Founder,104717,Domestic,Entrepreneurship,Online,Yes,500
1129,24,Female,Economics,3.19,8,Manager,63123,No,420,1.6,2.7,Employer,Consultant,152176,International,Skill Enhancement,On-Campus,No,750
1130,30,Male,Business,3.33,8,Entrepreneur,85450,No,7,1.7,2.2,Loan,Marketing Director,179516,International,Skill Enhancement,Online,Yes,990
1131,23,Female,Engineering,2.4,3,Engineer,98275,No,257,8.2,9.5,Scholarship,Marketing Director,160766,Domestic,Entrepreneurship,On-Campus,Yes,550
1132,29,Male,Arts,2.54,8,Analyst,109926,Yes,328,5.2,7.7,Self-funded,Consultant,84918,International,Entrepreneurship,On-Campus,Yes,500
1133,33,Female,Arts,2.88,6,Engineer,88059,Yes,219,9.3,5.1,Employer,Marketing Director,65345,Domestic,Networking,Online,No,500
1134,22,Female,Business,2.89,3,Engineer,66698,No,433,5.3,3.7,Employer,Marketing Director,113773,International,Career Growth,Online,No,990
1135,24,Female,Arts,3.55,1,Analyst,54032,No,150,8.3,2.0,Scholarship,Consultant,140056,International,Career Growth,Online,Yes,500
1136,26,Male,Engineering,2.73,4,Analyst,35258,No,308,6.7,1.2,Scholarship,Executive,79410,Domestic,Entrepreneurship,On-Campus,Yes,650
1137,22,Male,Engineering,2.33,7,Manager,116416,Yes,351,4.9,6.8,Employer,Consultant,148315,Domestic,Networking,Online,Yes,700
1138,28,Female,Economics,2.5,9,Consultant,42517,Yes,43,6.0,5.5,Loan,Finance Manager,83137,International,Skill Enhancement,On-Campus,No,850
1139,28,Male,Science,2.43,9,Analyst,90737,No,295,9.4,6.3,Loan,Finance Manager,144111,Domestic,Entrepreneurship,Online,Yes,990
1140,21,Other,Arts,3.46,5,Consultant,101793,No,203,1.7,2.5,Employer,Finance Manager,163797,International,Networking,On-Campus,Yes,700
1141,32,Female,Business,2.94,4,Consultant,61135,No,171,5.8,6.3,Loan,Startup Founder,145191,Domestic,Networking,On-Campus,Yes,600
1142,23,Male,Engineering,3.42,3,Consultant,68871,No,438,1.5,2.8,Self-funded,Startup Founder,67946,Domestic,Skill Enhancement,Online,No,500
1143,30,Male,Engineering,2.83,5,Consultant,84284,Yes,149,6.0,1.4,Scholarship,Executive,61880,Domestic,Career Growth,Online,Yes,990
1144,29,Male,Engineering,3.78,2,Analyst,72642,No,117,6.5,8.8,Scholarship,Consultant,171014,Domestic,Career Growth,On-Campus,Yes,600
1145,25,Female,Science,3.97,1,Engineer,60644,Yes,15,8.3,8.4,Loan,Executive,74514,Domestic,Skill Enhancement,Online,No,990
1146,26,Male,Science,3.34,0,Analyst,88790,No,348,8.2,6.3,Loan,Finance Manager,85300,International,Entrepreneurship,Online,No,850
1147,24,Male,Arts,3.73,8,Analyst,69956,Yes,166,1.1,9.2,Self-funded,Finance Manager,165809,International,Skill Enhancement,Online,Yes,850
1148,30,Male,Business,3.02,0,Entrepreneur,72479,No,379,1.6,8.0,Self-funded,Startup Founder,129821,Domestic,Networking,Online,Yes,500
1149,22,Female,Science,3.87,3,Entrepreneur,34310,Yes,279,7.2,3.5,Employer,Finance Manager,107111,International,Entrepreneurship,Online,No,990
1150,31,Male,Economics,3.66,5,Manager,51382,No,91,2.6,9.2,Loan,Startup Founder,120563,International,Networking,On-Campus,Yes,500
1151,28,Male,Science,3.98,8,Consultant,104067,No,211,5.8,4.5,Loan,Executive,74047,Domestic,Entrepreneurship,Online,Yes,750
1152,31,Female,Engineering,3.25,3,Consultant,38303,No,237,3.1,9.9,Loan,Consultant,104317,Domestic,Networking,Online,Yes,700
1153,33,Female,Business,3.56,6,Entrepreneur,91821,Yes,336,8.5,7.3,Scholarship,Consultant,75801,International,Entrepreneurship,Online,Yes,650
1154,26,Female,Arts,3.09,6,Engineer,59773,Yes,204,7.1,2.9,Self-funded,Consultant,136594,International,Networking,On-Campus,No,750
1155,25,Male,Science,2.52,5,Manager,82889,Yes,307,4.9,4.6,Scholarship,Consultant,88819,Domestic,Skill Enhancement,Online,Yes,650
1156,29,Male,Engineering,2.71,8,Engineer,99717,No,279,3.0,7.0,Loan,Marketing Director,90970,Domestic,Career Growth,Online,No,500
1157,21,Female,Economics,3.79,9,Entrepreneur,96019,Yes,179,6.9,8.1,Employer,Executive,197430,Domestic,Networking,On-Campus,Yes,500
1158,25,Male,Economics,2.11,6,Engineer,108297,No,455,4.2,6.2,Self-funded,Startup Founder,71383,International,Networking,Online,Yes,600
1159,26,Female,Arts,3.18,2,Consultant,55456,Yes,370,6.3,7.7,Loan,Executive,77344,International,Networking,Online,Yes,900
1160,25,Female,Arts,2.74,5,Entrepreneur,82254,No,248,7.0,5.3,Scholarship,Executive,168715,International,Skill Enhancement,On-Campus,Yes,750
1161,26,Male,Science,2.77,6,Engineer,70295,Yes,46,2.2,3.6,Self-funded,Marketing Director,183008,Domestic,Networking,Online,Yes,550
1162,26,Female,Arts,3.77,6,Manager,109171,No,249,1.4,7.3,Self-funded,Marketing Director,108064,Domestic,Career Growth,On-Campus,Yes,990
1163,27,Other,Engineering,3.71,5,Manager,112087,No,238,5.4,8.4,Loan,Consultant,182957,Domestic,Entrepreneurship,On-Campus,Yes,550
1164,24,Male,Engineering,3.2,2,Analyst,70218,Yes,246,2.4,3.9,Employer,Consultant,123512,Domestic,Skill Enhancement,On-Campus,No,500
1165,34,Female,Engineering,2.55,5,Entrepreneur,118968,No,94,1.8,4.8,Loan,Finance Manager,84843,Domestic,Career Growth,On-Campus,No,600
1166,31,Male,Science,2.95,1,Entrepreneur,54412,No,317,1.8,4.0,Scholarship,Finance Manager,104515,Domestic,Networking,On-Campus,No,550
1167,34,Male,Science,2.82,9,Entrepreneur,33291,No,400,7.3,2.3,Scholarship,Marketing Director,68997,International,Entrepreneurship,On-Campus,Yes,650
1168,34,Male,Arts,2.71,0,Consultant,97271,No,370,9.1,7.9,Scholarship,Consultant,132503,International,Career Growth,On-Campus,No,700
1169,34,Female,Science,2.21,7,Consultant,108190,Yes,60,9.4,5.6,Employer,Startup Founder,99435,Domestic,Skill Enhancement,On-Campus,No,800
1170,28,Other,Engineering,3.09,2,Entrepreneur,37280,No,416,9.4,2.5,Self-funded,Marketing Director,132622,Domestic,Entrepreneurship,Online,Yes,900
1171,27,Female,Business,2.6,7,Engineer,105276,No,169,7.0,4.1,Loan,Finance Manager,165066,International,Career Growth,On-Campus,Yes,600
1172,29,Male,Engineering,3.32,2,Consultant,79998,Yes,444,9.3,7.7,Self-funded,Executive,125449,International,Skill Enhancement,Online,No,550
1173,27,Female,Business,2.64,1,Entrepreneur,73912,No,405,2.2,4.4,Self-funded,Startup Founder,106974,Domestic,Career Growth,On-Campus,Yes,750
1174,23,Male,Arts,2.86,7,Consultant,78052,Yes,254,6.4,1.6,Self-funded,Startup Founder,66968,Domestic,Career Growth,On-Campus,Yes,550
1175,23,Female,Economics,2.1,2,Analyst,30887,Yes,452,7.8,1.9,Self-funded,Marketing Director,142086,Domestic,Career Growth,On-Campus,No,600
1176,28,Male,Science,3.99,7,Manager,52891,No,7,9.5,10.0,Employer,Finance Manager,170707,International,Entrepreneurship,Online,Yes,750
1177,25,Male,Science,3.02,1,Analyst,39503,No,475,4.0,4.9,Scholarship,Startup Founder,191396,Domestic,Skill Enhancement,On-Campus,Yes,700
1178,24,Male,Engineering,2.05,3,Entrepreneur,50437,Yes,235,6.3,6.7,Scholarship,Executive,191924,International,Entrepreneurship,Online,Yes,500
1179,28,Female,Engineering,3.08,8,Manager,65894,No,326,4.6,6.6,Employer,Consultant,140577,International,Entrepreneurship,Online,No,850
1180,26,Male,Business,3.74,0,Engineer,41506,Yes,276,5.8,2.5,Employer,Marketing Director,116708,Domestic,Entrepreneurship,On-Campus,No,990
1181,22,Female,Science,3.55,1,Entrepreneur,89544,No,172,5.5,4.6,Loan,Finance Manager,67942,Domestic,Entrepreneurship,Online,Yes,850
1182,24,Male,Arts,3.4,1,Engineer,34264,No,300,8.6,7.4,Employer,Finance Manager,190483,Domestic,Entrepreneurship,Online,Yes,500
1183,32,Male,Engineering,2.28,8,Engineer,31817,No,140,8.4,4.8,Loan,Startup Founder,182919,Domestic,Entrepreneurship,Online,No,600
1184,31,Male,Science,3.32,9,Consultant,84172,Yes,59,4.6,6.3,Loan,Marketing Director,191614,Domestic,Entrepreneurship,On-Campus,Yes,550
1185,24,Female,Economics,3.53,4,Consultant,82095,No,462,3.5,4.3,Employer,Consultant,176345,International,Skill Enhancement,On-Campus,Yes,750
1186,26,Female,Business,3.14,3,Manager,60033,No,234,8.7,3.4,Scholarship,Consultant,127642,International,Networking,On-Campus,Yes,500
1187,26,Male,Engineering,3.79,9,Manager,68947,No,162,9.6,1.2,Employer,Finance Manager,145444,Domestic,Skill Enhancement,On-Campus,Yes,550
1188,21,Male,Engineering,2.55,9,Consultant,53251,No,244,1.2,4.8,Self-funded,Finance Manager,160039,Domestic,Networking,Online,Yes,750
1189,34,Male,Arts,2.48,3,Manager,33936,No,300,5.5,4.6,Self-funded,Consultant,120624,International,Networking,On-Campus,Yes,750
1190,28,Female,Engineering,3.74,6,Analyst,109187,Yes,81,7.9,5.1,Self-funded,Executive,170184,Domestic,Career Growth,Online,Yes,700
1191,26,Male,Science,3.25,2,Entrepreneur,45490,No,296,9.9,1.1,Loan,Finance Manager,162383,Domestic,Skill Enhancement,On-Campus,Yes,550
1192,23,Female,Science,2.0,8,Analyst,68970,Yes,468,5.8,5.7,Loan,Marketing Director,123718,International,Career Growth,On-Campus,Yes,500
1193,34,Female,Science,2.71,4,Entrepreneur,58321,Yes,130,7.5,2.1,Self-funded,Startup Founder,175283,Domestic,Skill Enhancement,On-Campus,Yes,850
1194,29,Male,Economics,3.72,8,Consultant,58421,No,189,9.4,5.5,Self-funded,Finance Manager,113902,Domestic,Career Growth,Online,No,500
1195,22,Male,Economics,2.05,0,Analyst,115662,Yes,21,4.4,4.1,Employer,Executive,68743,International,Entrepreneurship,On-Campus,Yes,800
1196,31,Female,Engineering,2.01,9,Engineer,88527,Yes,140,9.0,1.4,Employer,Startup Founder,148740,Domestic,Networking,Online,No,990
1197,28,Female,Economics,2.56,7,Analyst,82009,No,252,3.4,2.5,Employer,Executive,169026,Domestic,Career Growth,On-Campus,No,650
1198,30,Male,Economics,3.83,1,Manager,56952,No,461,7.5,3.3,Employer,Executive,71149,International,Networking,On-Campus,Yes,700
1199,23,Male,Arts,3.8,7,Analyst,106333,No,449,9.6,3.1,Loan,Startup Founder,196931,Domestic,Entrepreneurship,On-Campus,No,500
1200,33,Male,Economics,3.04,3,Consultant,101023,No,466,6.8,6.4,Scholarship,Finance Manager,104935,International,Entrepreneurship,Online,No,990
1201,32,Male,Business,3.11,1,Consultant,51466,Yes,78,4.4,1.4,Employer,Consultant,97447,Domestic,Entrepreneurship,On-Campus,Yes,500
1202,25,Male,Business,2.66,1,Manager,71303,No,223,1.7,5.0,Loan,Startup Founder,67857,International,Entrepreneurship,On-Campus,No,900
1203,26,Male,Business,2.49,5,Entrepreneur,53863,No,88,2.8,8.3,Loan,Startup Founder,161024,Domestic,Networking,On-Campus,No,500
1204,30,Female,Engineering,3.63,2,Manager,68833,Yes,140,7.6,3.6,Employer,Consultant,132110,Domestic,Career Growth,Online,Yes,600
1205,26,Male,Science,2.21,9,Entrepreneur,55210,No,308,9.9,6.4,Self-funded,Startup Founder,161148,Domestic,Entrepreneurship,Online,Yes,750
1206,24,Male,Arts,2.97,2,Consultant,50761,Yes,217,8.6,9.3,Self-funded,Marketing Director,96627,Domestic,Networking,Online,Yes,800
1207,23,Male,Engineering,3.27,8,Consultant,78177,Yes,228,8.1,8.1,Self-funded,Finance Manager,160790,Domestic,Networking,On-Campus,No,650
1208,24,Female,Science,2.21,4,Entrepreneur,117401,Yes,14,1.2,8.5,Loan,Consultant,186863,Domestic,Career Growth,Online,Yes,850
1209,21,Female,Arts,3.04,6,Analyst,82075,No,402,7.6,4.9,Self-funded,Finance Manager,148322,Domestic,Career Growth,Online,No,800
1210,24,Male,Arts,3.16,4,Analyst,118326,Yes,152,8.4,1.8,Loan,Consultant,90232,Domestic,Networking,On-Campus,No,700
1211,21,Male,Arts,3.48,1,Manager,117194,No,154,3.9,5.4,Scholarship,Startup Founder,136196,Domestic,Entrepreneurship,On-Campus,Yes,550
1212,32,Other,Business,2.47,7,Consultant,43647,No,478,10.0,1.7,Employer,Startup Founder,185057,International,Skill Enhancement,Online,Yes,550
1213,21,Male,Business,2.59,8,Analyst,113248,Yes,445,1.3,5.5,Loan,Finance Manager,147810,Domestic,Networking,On-Campus,Yes,700
1214,30,Male,Business,3.14,1,Consultant,84519,Yes,196,4.5,5.5,Self-funded,Executive,166821,International,Skill Enhancement,On-Campus,Yes,800
1215,34,Male,Arts,3.97,1,Manager,104964,Yes,64,2.9,8.4,Employer,Marketing Director,156607,International,Networking,Online,No,900
1216,26,Male,Arts,2.43,3,Engineer,31433,No,168,9.8,5.9,Self-funded,Finance Manager,159642,International,Networking,On-Campus,Yes,650
1217,25,Male,Business,3.97,7,Consultant,31856,No,157,7.0,1.9,Scholarship,Startup Founder,149146,Domestic,Career Growth,Online,No,650
1218,34,Female,Arts,3.43,4,Engineer,89393,No,146,4.8,5.1,Self-funded,Finance Manager,168127,Domestic,Networking,On-Campus,No,750
